,id,Name,type,lat,lon,demand
0,1,Adia ES,shelter,14.4883178,121.437077,0
1,2,Alaminos CS,shelter,14.0650417,121.2463809,500
2,3,Alumbrado ES,shelter,14.1318501,121.383214,0
3,4,Ananias Laico Memorial Elementary School,shelter,14.1998479,121.4287374,0
4,5,Angela Ong Javier MES,shelter,14.4178228,121.4432586,0
5,6,Anibong Elementary School,shelter,14.2261157,121.4633545,0
6,7,Antipolo Sulsuguin ES,shelter,14.1105713,121.381443,0
7,8,Antonio Adricula Sr. Memorial Elementary School,shelter,14.4528083,121.4620595,0
8,9,Antonio Chipeco MS,shelter,14.17868695,121.3014055,0
9,10,Aplaya ES,shelter,14.3181414,121.1212119,0
10,11,B.N. Calara Integrated National High School,shelter,14.18032032,121.2318119,0
11,12,BUKAL ES,shelter,14.2385326,121.5444699,0
12,13,Bagong Pook ES,shelter,14.0729722,121.3213301,500
13,14,Bagong Silang ES,shelter,14.3353663,121.0240745,0
14,15,Bagumbayan ES,shelter,14.2682879,121.3998141,0
15,16,Balanac Elementary School,shelter,14.2165314,121.4527738,0
16,17,Balayhangin ES,shelter,14.1412787,121.3095787,0
17,18,Balian Integrated National High School,shelter,14.39470486,121.4748286,0
18,19,Balubad Elementary School,shelter,14.2884845,121.4630333,0
19,20,Bambang Elementary School,shelter,14.1774254,121.2187444,0
20,21,Banca-Banca ES,shelter,14.2023024,121.3455688,0
21,22,Bangyas ES,shelter,14.1738804,121.3168589,0
22,23,Banilad ES,shelter,14.121669,121.4023508,0
23,24,Banilan ES,shelter,14.3813653,121.4003954,0
24,25,Banka-Banka Elementary School,shelter,14.1857949,121.3778611,0
25,26,Banlic Elementary School,shelter,14.22853056,121.1521528,0
26,27,Barangay Kalayaan Evacuation Center,shelter,14.3279826,121.4802397,0
27,28,Barangay Kanluran Evacuation Center,shelter,14.283986,121.522159,0
28,29,Bay CS,shelter,14.1809859,121.284764,0
29,30,Bayog ES,shelter,14.1911246,121.2442645,0
30,31,Bitin Elementary School,shelter,14.0940794,121.2132482,500
31,32,Biñan Pagsanjan Senior High School,shelter,14.33847499,121.0890149,0
32,33,Bonifacio Elementary School,shelter,14.1845042,121.509568,0
33,34,Brgy Labuin Evacuation Center,shelter,14.203485,121.3890582,0
34,35,Brgy. San mIGUEL eVACUATION cENTER,shelter,14.2001247,121.3768683,0
35,36,Bubukal ES,shelter,14.2513559,121.4037125,0
36,37,Bubuyan National High School,shelter,14.17204167,121.1043083,0
37,38,Buenaventura E. Fundialan Memorial Integrated ...,shelter,14.06489499,121.2663933,500
38,39,Buenavista Integrated National High School,shelter,14.22469548,121.4296948,0
39,40,Buhay ES,shelter,14.4285168,121.448585,0
40,41,Bulajo ES,shelter,14.2264979,121.4913182,0
41,42,Bunga Elementary School,shelter,14.1498915,121.4000951,0
42,43,Bunggo National High School,shelter,14.15862778,121.0630917,0
43,44,Bungkol ES,shelter,14.1814674,121.4278093,0
44,45,Burol Elementary School,shelter,14.245595,121.5098236,0
45,46,Cabooan ES,shelter,14.459884,121.4270657,0
46,47,Caesar Z. Lanuza ES,shelter,14.26165358,121.4284755,0
47,48,Calamba Bayside Integrated School,shelter,14.21565,121.1861806,0
48,49,Calamba National High School,shelter,14.2226,121.1428222,0
49,50,Calangay Elementary School,shelter,14.5091011,121.406885,0
50,51,Calauan CES,shelter,14.1471863,121.3134533,0
51,52,Caliraya ES,shelter,14.2866998,121.501183,0
52,53,Callos (Escolapia) ES,shelter,14.2750024,121.402998,0
53,54,Calminue ES,shelter,14.2331972,121.6140707,0
54,55,Calo ES,shelter,14.1816735,121.2797381,0
55,56,Calumpang ES,shelter,14.2009302,121.4018242,0
56,57,Cambuja-Bubucal ES,shelter,14.4735814,121.410065,0
57,58,Cansuso ES,shelter,14.2369153,121.5667696,0
58,59,Casa Real ES,shelter,14.3552759,121.3967343,0
59,60,Casinsin ES,shelter,14.3453247,121.3870927,0
60,61,Cavinti Elementary,shelter,14.2474012,121.501249,0
61,62,Concepcion (G. Tabia ES),shelter,14.2990444,121.4566405,0
62,63,Cornelio C. Dalena ES,shelter,14.3846729,121.4768167,0
63,64,Crisanto Guysayko MES,shelter,14.1397303,121.418217,0
64,65,Cristobal S. Conducto Memorial Integrated National High School,shelter,14.11366648,121.3971794,0
65,66,Crossing Elementary School,shelter,14.20469444,121.1583972,0
66,67,Cueva ES,shelter,14.5059336,121.4577896,0
67,68,DAMBO NATIONAL HIGH SCHOOL,shelter,14.3976637,121.4078178,0
68,69,DAYAP E.S - ANNEX,shelter,14.17881825,121.3384305,0
69,70,DON MANUEL RIVERA MEMORIAL INTEGRATED NATIONAL HIGH SCHOOL,shelter,14.23489057,121.3712184,0
70,71,Dayap NHS (Mabacan Annex),shelter,14.1349948,121.2900383,0
71,72,Del Carmen ES,shelter,14.0795241,121.2649774,500
72,73,Del Remedio Elementary School,shelter,14.0826042,121.3109305,500
73,74,Dela Paz-San Pablo ES,shelter,14.18697305,121.5370513,0
74,75,Dingin ES,shelter,14.2434874,121.4463141,0
